"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010720","positive regulation of cell development","186/4328","460/18986",0.404347826086957,1.77378646628627,9.12894905848311,8.95801092568004e-18,5.70625295965819e-14,3.3804704387961e-14,"LGALS9/BIN1/NRDC/DCT/BCL6/RND2/IL2RA/IL12RB1/RNF112/NOTCH2/ACE/ADA/IL18/TOX/IL17A/NTRK2/WNT3/STAT5B/PTPRC/TLR2/SERPINF1/SPEN/SOX12/PLAG1/IL5/WNT2/MYOG/TRPC5/ACIN1/ACTB/NTN1/PAFAH1B1/MAP6/DICER1/PLXND1/PDE3A/TGM2/TNFSF9/RASGRP1/NCKAP1L/PLXNB3/CXCR4/TRAK1/NAP1L1/GFAP/IL7/SOX11/KLF10/STAU2/AXL/CLCN2/CD4/XBP1/ADNP/VNN1/MYOD1/BRAF/PAX6/BAD/MDK/CALCA/MYF6/RHOH/OLIG2/CBFB/MYF5/FMR1/IL12B/RELA/SMARCA2/ZNF365/SPINT1/NUMB/EP300/RHEB/ANXA1/SOX13/NEURL1/SLC7A5/XRCC6/RFX3/BRD7/HIF1A/IL1RL2/IL2RG/SHH/HAPLN1/CDH4/TIAM1/LPAR3/RUNX1/CSF1/FGF2/TGFB1/CLDN5/IL2/BDNF/SRF/CLCF1/ITPKB/SOX8/CDH5/SOCS1/ZBTB1/HMGB1/TNF/STK11/TNFSF4/TP73/MYB/PRKCH/MAPT/ITPKA/SEMA7A/GLI3/EGR3/TRIM32/SLC30A1/RAB21/PROC/CD74/NR2E1/ITGB1/SMARCC2/NRP1/DUSP10/RB1/MYRF/RAG1/IL1RAPL1/TGFBR2/ACTL6A/SLIT2/EGR2/PRKCZ/CCL19/NKX6-1/SERPINE2/CAMK2B/IL4R/CUX1/TSPO/IFNG/OPRM1/IL6/CCR1/LRP8/FES/IL4/CD46/DISC1/HSF1/SOX4/PDE5A/LIF/TNFRSF1B/PRKCI/TIAM2/PTN/EPHB2/TRAF6/MAP1B/BCL2/PNP/INPP5D/NKX2-2/EPHA4/BRD4/OTP/ID4/FADD/KIT/ADAM8/BMP2/GOLGA4/CX3CR1/FXR1/PRMT5/CASP8/PCK1/ADD1/MMP14/SPI1/EFNA5/BNC1/MAG",186
"GO:0032943","mononuclear cell proliferation","136/4328","305/18986",0.445901639344262,1.95607405836187,9.1464583689951,1.91317155016167e-17,6.09345138726493e-14,3.60985263543663e-14,"SFTPD/MAPK8IP1/LGALS9/MS4A1/PRKAR1A/IGFBP2/PTPN6/CTPS1/BCL6/BST1/IKZF3/CD300A/PRKCD/IL2RA/IL12RB1/TBK1/ARG1/ACE/ADA/IL18/HELLS/CD19/STAT5B/CD22/PTPRC/NCK2/P2RX7/ICOSLG/IL5/PAWR/TCF3/HLA-A/TNFRSF14/FLT3/EFNB1/TNFSF9/TP53/RASGRP1/NCKAP1L/NCK1/IRS2/IL7/SLC7A1/CD3E/SOX11/CD6/CD40/SDC4/IL12B/BAX/ABL1/PRNP/SPN/ANXA1/CD209/DLG5/TNFSF8/IDO1/VSIG4/SHH/AIF1/FGF10/RIPK3/MEF2C/HLA-DMB/SCGB1A1/CSF1/TGFB1/HHLA2/CCL5/CHRNB2/TNFSF14/IL2/CD70/ARG2/CLCF1/ATM/IL9/DLG1/HMGB1/TNFRSF21/TNFSF4/BTN3A1/LGALS3/ZP3/RAG2/FOSL2/TSPAN32/SH2D2A/CLC/MYD88/CD74/CD81/GJA1/FCGR2B/TNFRSF4/TNFRSF9/HLA-E/CRP/TNFSF13B/ST6GAL1/TFRC/TGFBR2/SLC11A1/CCL19/CD79A/IL6/CD1D/PYCARD/IL4/CEBPB/CD38/CD46/CR2/TLR4/PDE5A/TNFRSF1B/EPHB2/TRAF6/BCL2/PNP/INPP5D/MNDA/FADD/TNFRSF13B/PLA2G2D/LEP/CD28/CDKN2A/PRDX2/CASP3/EPO/FCGR3A/NCSTN/PRKCQ/CTLA4",136
"GO:0070661","leukocyte proliferation","146/4328","341/18986",0.428152492668622,1.87821239043587,8.89215703884068,9.96342238482074e-17,1.63068234610185e-13,9.66040851156759e-14,"SFTPD/MAPK8IP1/LGALS9/MS4A1/PRKAR1A/IGFBP2/PTPN6/CTPS1/BCL6/BST1/IKZF3/CD300A/PRKCD/IL2RA/IL12RB1/BST2/TBK1/ARG1/ACE/ADA/IL18/HELLS/CD19/STAT5B/CD22/PTPRC/NPR3/NCK2/P2RX7/ICOSLG/IL5/PAWR/TCF3/HLA-A/TNFRSF14/FLT3/EFNB1/HHEX/TNFSF9/TP53/RASGRP1/NCKAP1L/NCK1/IRS2/IL7/SLC7A1/CD3E/SOX11/CD6/CD40/SDC4/IL12B/BAX/ABL1/PRNP/SPN/ANXA1/CD209/DLG5/TNFSF8/IDO1/VSIG4/SHH/AIF1/FGF10/RIPK3/MEF2C/HLA-DMB/SCGB1A1/CSF1/TGFB1/HHLA2/CCL5/CHRNB2/TNFSF14/IL2/CD70/ARG2/CLCF1/ATM/IL9/DLG1/HMGB1/TNFRSF21/TNFSF4/BTN3A1/LGALS3/ZP3/F2RL1/RAG2/FOSL2/TSPAN32/SH2D2A/IL5RA/NDP/CLC/MYD88/CD74/CD81/GJA1/FCGR2B/TNFRSF4/TNFRSF9/HLA-E/CRP/TNFSF13B/ST6GAL1/TFRC/TGFBR2/SLC11A1/CCL19/CD79A/IL6/CD1D/PYCARD/IL4/CEBPB/CD38/CD46/CR2/TLR4/PDE5A/TNFRSF1B/NMB/EPHB2/TRAF6/BCL2/PNP/INPP5D/MNDA/FADD/KIT/TNFRSF13B/PLA2G2D/LEP/CD28/CDKN2A/PRDX2/CASP3/TNFAIP3/EPO/GSTP1/FCGR3A/NCSTN/PRKCQ/CTLA4",146
"GO:0045785","positive regulation of cell adhesion","195/4328","499/18986",0.390781563126253,1.71427420460144,8.78604830283833,1.02397635547997e-16,1.63068234610185e-13,9.66040851156759e-14,"LGALS9/EFNB2/THY1/SFN/IGFBP2/PTPN6/LGALS1/FLNA/BCL6/RSU1/IL2RA/IL12RB1/TFE3/SFRP2/ADA/IL18/STAT5B/PTPRC/SOX12/NCK2/NRG1/ICOSLG/HRG/NID1/ECM2/STX4/AKT1/HLA-A/ACTB/MAP3K8/TNFRSF14/EFNB1/STX3/TGM2/ARL2/ICOS/TNFSF9/ADAM9/ADGRG1/RASGRP1/PPM1F/NCKAP1L/NCK1/PRSS2/IL7/SLC7A1/CD3E/CD6/ZFHX3/CD4/EFNB3/XBP1/VNN1/CCL21/BRAF/BAD/SPOCK2/MDK/FBLN2/SDC4/RHOH/CBFB/IL12B/P4HB/EMILIN1/RELA/SMARCA2/CAV1/ABL1/FUT3/GP1BA/EP300/ANK3/SPN/ITGB2/ANXA1/SOX13/CD209/PRKCE/ROCK1/HLA-DQA2/BRD7/AFDN/HLA-DQB1/IL1RL2/IL2RG/SHH/AIF1/TGFB2/RUNX1/HLA-DMB/CSF1/TGFB1/GCNT1/FERMT2/CD5/HHLA2/EDIL3/CCL5/TNFSF14/IL2/CD70/WNT5A/ATM/ITPKB/CSPG5/C1QBP/CD47/SOCS1/ZBTB1/PTPN11/ITGA5/JAK1/HMGB1/TNF/TNFSF4/SFRP1/STK4/PKP1/ZP3/ABL2/PTPRU/GLI3/EGR3/PTK2B/HLA-DQB2/ITGA3/ALOX5/AZU1/ITGA4/PLAUR/SKAP1/HLA-DRB5/CD74/CD81/SMARCC2/NRP1/DUSP10/NODAL/HLA-E/MYOC/LDB1/TNFSF13B/RAG1/TFRC/TGFBR2/ACTL6A/JUP/PRKCZ/FGB/CCL19/CRKL/IL4R/ARHGEF7/IFNG/HLA-DOA/IL6/SRC/IL6R/CD1D/PYCARD/CTSG/TPM1/PTAFR/IL4/CD46/DISC1/FLOT1/KLRK1/PDGFB/SOX4/ITGB3/LIF/GFUS/TRAF6/PNP/EPHA4/BRD4/SMAD3/LAMA2/FADD/ADAM8/SERPINF2/LEP/IBSP/CD28/CEACAM6/ST3GAL4/PCK1/TESK1/GCNT2/EPO/GSK3B/PRKCQ/HYAL1",195
"GO:0050863","regulation of T cell activation","162/4328","393/18986",0.412213740458015,1.8082925315009,8.79835892107032,1.49067976848902e-16,1.89912602505501e-13,1.12507094105961e-13,"SFTPD/MAPK8IP1/LGALS9/PRKAR1A/EFNB2/THY1/IGFBP2/PTPN6/LGALS1/BCL6/DUSP3/CD300A/IL2RA/IL12RB1/HFE/ARG1/ADA/IL18/TOX/STAT5B/PTPRC/SOX12/NCK2/FOXN1/ICOSLG/PAWR/AKT1/HLA-A/ACTB/TCF7/MAP3K8/TNFRSF14/EFNB1/ICOS/TNFSF9/DTX1/RASGRP1/NCKAP1L/NCK1/IL7/SLC7A1/CD3E/CD6/CD4/EFNB3/XBP1/VNN1/CCL21/BRAF/BAD/ZEB1/MDK/SDC4/RHOH/CBFB/IL12B/CLPTM1/SMARCA2/CAV1/ABL1/EP300/PRNP/SPN/ANXA1/SOX13/CD209/DLG5/HLA-DQA2/TNFSF8/BRD7/IDO1/IRF4/VSIG4/HLA-DQB1/IL1RL2/IL2RG/CD69/SHH/AIF1/RIPK3/RUNX1/HLA-DMB/SCGB1A1/TGFB1/CD5/HHLA2/CCL5/TNFSF14/IL2/CD70/ARG2/ITPKB/CD47/SOCS1/ZBTB1/DLG1/PTPN11/HMGB1/TNFRSF21/TNFSF4/LGALS3/ZP3/LAPTM5/ABL2/RAG2/TSPAN32/GLI3/EGR3/HLA-DQB2/CLC/HLA-DRB5/CD74/CD81/SMARCC2/BATF/DUSP10/TNFRSF9/HLA-E/TNFSF13B/RAG1/TFRC/TGFBR2/ACTL6A/PRKCZ/CCL19/IL4R/PRDM1/IFNG/HLA-DOA/TREX1/LAG3/IL6/SRC/CD1D/PYCARD/CTSG/IL4/CEBPB/CD46/KLRK1/SOX4/PDE5A/ASCL2/FANCA/TNFRSF1B/TRAF6/PNP/BRD4/FADD/ADAM8/PLA2G2D/PDCD1/LEP/CD28/CDKN2A/PRDX2/CASP3/PCK1/EPO/CAMK4/PRKCQ/CTLA4",162
"GO:0048545","response to steroid hormone","145/4328","340/18986",0.426470588235294,1.8708342394259,8.8042766980195,1.90973299321595e-16,1.98514893871999e-13,1.17603221437844e-13,"TGFB3/RPS6KB1/CYBB/BGLAP/IGFBP2/FOSB/STC1/GLB1/GHRHR/ACE/DEFA3/SOX30/MSTN/DDX5/PTPRC/A2M/TLR2/SERPINF1/RXRB/INHBA/PFKFB1/TMF1/SRD5A2/AR/TCF21/FLT3/SCNN1D/PDE3A/ABCA2/TYMS/AVPR1A/ADAM9/CAD/SSTR3/NCOA4/GOT1/NCOR1/CLDN4/MYOD1/PTGS2/SLC12A3/PAK1/RELA/SSTR2/THBS1/FOXP1/CAV1/EP300/TP63/HSPA1A/ANXA1/PDCD7/BCKDHB/KDM5D/ND3/GPR83/OXT/NR2C1/NCOA1/ZFP36L2/TGFB2/SREBF1/SCGB1A1/HSD11B2/NR1H3/TGFB1/SIRT1/UCP3/SAFB2/PGR/AXIN2/HMGCS2/NEDD4/ATP5F1A/FECH/ESRRG/TAT/CFLAR/CPS1/CYP1B1/SLIT3/GSK3A/CRY2/ALPL/TNF/LATS1/HEYL/SFRP1/PER1/CRY1/SRD5A1/FOSL2/RBBP7/PTPRU/GPI/FAM107A/ZFP36/CYP7B1/SSTR5/NR2E1/GHSR/MDM2/NODAL/SLIT2/ESRRB/ABCA3/ATP1A1/NPC1/TSPO/UBE3A/GNRH1/IL6/IDH1/SRC/PTAFR/RBFOX2/CD38/KLF9/PRMT2/NR2E3/SPP1/KANK2/MAOB/NCOR2/URI1/BCL2/PHB1/NKX2-2/WBP2/HTR1B/CASP9/AKR1C3/NR3C2/RNF14/ALAD/RAN/HSPA8/CASP3/PCK1/RNF6/EPO/GABRB1/JUN/ANXA3/GJB2",145
"GO:0046651","lymphocyte proliferation","131/4328","297/18986",0.441077441077441,1.93491134387622,8.82403435185827,2.18148235024174e-16,1.98514893871999e-13,1.17603221437844e-13,"SFTPD/MAPK8IP1/LGALS9/MS4A1/PRKAR1A/IGFBP2/PTPN6/CTPS1/BCL6/BST1/IKZF3/CD300A/PRKCD/IL2RA/IL12RB1/ARG1/ADA/IL18/HELLS/CD19/STAT5B/CD22/PTPRC/NCK2/P2RX7/ICOSLG/IL5/PAWR/TCF3/HLA-A/TNFRSF14/FLT3/EFNB1/TNFSF9/TP53/RASGRP1/NCKAP1L/NCK1/IRS2/IL7/SLC7A1/CD3E/SOX11/CD6/CD40/SDC4/IL12B/BAX/ABL1/PRNP/SPN/ANXA1/CD209/DLG5/TNFSF8/IDO1/VSIG4/SHH/AIF1/FGF10/RIPK3/MEF2C/HLA-DMB/SCGB1A1/TGFB1/HHLA2/CCL5/CHRNB2/TNFSF14/IL2/CD70/ARG2/CLCF1/ATM/IL9/DLG1/HMGB1/TNFRSF21/TNFSF4/BTN3A1/LGALS3/ZP3/RAG2/FOSL2/TSPAN32/SH2D2A/CLC/MYD88/CD74/CD81/GJA1/FCGR2B/TNFRSF4/TNFRSF9/HLA-E/TNFSF13B/TFRC/TGFBR2/SLC11A1/CCL19/CD79A/IL6/CD1D/PYCARD/IL4/CEBPB/CD38/CD46/CR2/TLR4/PDE5A/TNFRSF1B/EPHB2/TRAF6/BCL2/PNP/INPP5D/MNDA/FADD/TNFRSF13B/PLA2G2D/LEP/CD28/CDKN2A/PRDX2/CASP3/EPO/FCGR3A/NCSTN/PRKCQ/CTLA4",131
"GO:0048732","gland development","179/4328","450/18986",0.397777777777778,1.74496508523311,8.69051940154707,2.53386540998638e-16,2.01759033270165e-13,1.19525098615805e-13,"TGFB3/OAS2/ALDH1A3/PKD2/SIX3/NOTCH2/SMAD2/GHRHR/ADA/WNT3/STAT5B/SERPINF1/PLAG1/FOXN1/NRG1/WNT2/AKT1/DKK3/CCL11/NKX2-5/HNF1A/LRP5/NTN1/OTC/AR/TCF21/SIX1/PLXND1/TGM2/CEBPG/CAPN1/TYMS/SNAI2/INHBB/PROP1/CAD/IRS2/MSX2/CD2AP/HOXA5/CLCN2/XBP1/FGF1/BRAF/RPGRIP1L/PAX6/NFKB1/MDK/DDR1/CDH1/COBL/BAX/BRCA2/RELA/EPHB3/CAV1/IGFBP5/ABL1/FGF7/ARHGAP5/TP63/ELF3/ACAT1/WNT1/NEURL1/SOCS2/SLC7A5/LHX3/RCBTB2/SULF1/HIF1A/SLC29A1/NCOA1/EDNRA/SHH/FGF10/RIPK3/NPHP3/FOXB1/INSR/TGFB2/CSF1/FGF2/CPT1A/TGFB1/BMPR1A/CYP1A1/PGR/HMGCS2/EDA/TAF10/SRF/PAX8/HOXA13/WNT5A/ATM/NOTCH4/CFLAR/CPS1/CEACAM1/CYP1B1/ZBTB1/GCM2/TNF/STK11/LATS1/SFRP1/FGF8/INSM1/IGSF3/SRD5A1/HK2/TBX1/GLI3/TGFA/JARID2/TYR/ZIC3/IGF2R/CYP7B1/HOXB3/SOX3/KDM5B/ATP7A/CRIPTO/NME1/ONECUT1/GJA1/NRP1/PBX1/BTRC/NODAL/WT1/SP3/RAG1/TGFBR2/TBX3/SERPINE2/NPC1/CRKL/TSPO/UBE3A/PHF2/IL6/SRC/CRHR1/EXT1/UMPS/CEBPB/THRA/CDKN2B/TPH1/HIPK2/PTN/CRIP1/NCOR2/BCL2/APLN/PRKCSH/OTP/CADM1/SMAD3/ID4/FADD/PDGFRA/ALOX15B/TGFBR1/SMAD4/BMP2/ALDH1A2/CSNK2A2/PRDX2/PRMT5/NAGLU/MPST/PCK1/TNFAIP3/TGFBR3/PSEN1",179
"GO:0009410","response to xenobiotic stimulus","179/4328","451/18986",0.39689578713969,1.74109598304856,8.65521784380175,3.27018781888186e-16,2.31456626736416e-13,1.37118401528555e-13,"GPR52/PPP1R12A/TPMT/RPS6KB1/CYBB/BGLAP/IGFBP2/SLCO1A2/CTPS1/CYP2S1/GSTM3/FOSB/TOP1/CRYZ/ACE/SFRP2/ADA/GSTO1/BCAR3/GSTM2/NTRK1/ABCC3/TRAF3IP2/P2RX7/GLYAT/GNPAT/OTC/SRD5A2/CA9/SLC10A1/ADD3/PDE3A/PMS1/ABCA2/TYMS/TP53/RAD54L/PPM1F/NCKAP1L/CDH3/CXCR4/CAD/NAT1/ABCC9/BPHL/HSP90AA1/BRAF/PAX6/PTGS2/ALDH2/GRIN1/GCLM/CDH1/CYP2J2/GSTA2/RELA/ADRA1A/THBS1/FMO5/ABCC2/ACSL1/ND1/GSTA3/ABL1/CCNO/PRNP/TLR3/ABCA1/MBD1/SLC22A1/GRIA1/DPEP1/GSTM4/CCNT1/SLC29A1/CD69/HADH/MEF2C/ATP4A/ATR/SREBF1/SCGB1A1/HSD11B2/SLC6A4/PLIN2/KCNE2/CPT1A/TGFB1/FGF21/NAT2/CYP1A1/HMGCS2/FECH/N6AMT1/GCLC/ADCYAP1R1/CPS1/GABRG3/CYP1B1/REN/NOS2/TGIF1/TNF/SULT1A1/PDE2A/TP73/SFRP1/ANKRD1/FGF8/OXSR1/CBR3/SRD5A1/CDK4/FOSL2/PTK2B/ITGA3/CYTB/AMELX/ABCC5/AGPAT2/ALDH3A1/DRD1/GNA12/NNMT/FBP1/MDM2/RB1/CENPF/CYP4F2/TFRC/TGFBR2/CYP2A6/NQO1/CBR1/CES3/ABCA3/ATP1A1/ABCC6/NKX6-1/NPC1/CRKL/ABCD3/TSPO/DNMT3A/SRC/BECN1/CYP3A5/LRP8/UMPS/CD38/GSTA4/HSF1/ITGB3/AIP/SNCA/MAP1B/MAOB/BCL2/PNP/SLC1A1/TENT4A/UCHL1/HTR1B/NOS1/ALAD/TRPA1/GSTA1/SS18/HSPA8/LHCGR/CASP3/CYP1A2/SRP68/ABCC4/UGT2B11/DUSP6/PRKCB/GSTP1/CYP3A7",179
"GO:0019693","ribose phosphate metabolic process","155/4328","376/18986",0.412234042553192,1.80838159240178,8.60297616516679,6.74933686629369e-16,4.29932758382908e-13,2.54698659638557e-13,"ATP6V1B1/ALDOB/NPR2/NT5E/HDAC4/NDUFA5/GAPDHS/ATP5F1E/TPST1/CTPS1/PGK1/NDUFB6/NDUFB4/ATP5MF/ADA/MYH7/NME3/NDUFV1/PGAM2/P2RX7/DMAC2L/GCK/PFKFB1/ENO3/MYH6/NME4/ARL2/CAD/ABCC9/NCOR1/ADCY9/NDUFS2/PDE7B/GAPDH/STAT3/BAD/NDUFS4/NDUFA6/TJP2/UPP1/ND1/EP300/NDUFV3/ND2/ATP5MC2/ATIC/AK5/HSPA1A/LDHA/ND3/TAFAZZIN/AMPD2/NDUFA1/CDA/NDUFA3/NDUFA7/HIF1A/NDUFC2/MYH3/NDUFB8/ATP5F1D/INSR/BPGM/TGFB1/EIF6/PARG/ITPA/ATP5F1A/NDUFB5/PAPSS2/ATP6V1A/AMPD3/ADCY7/ALDOA/CBFA2T3/DLG1/PDE7A/SLC4A4/SULT1A1/PDE2A/ATP5F1B/SDHA/HK1/NDUFB2/NDUFB1/GUCY2D/ADCY5/HK2/GPI/KAT2B/MYH8/NDUFAB1/PYGL/NDUFS3/GUCY2C/NME1/PAPSS1/ENO2/FBP1/GUCY1B1/MPP1/HINT1/NPPA/NDUFA2/NDUFS5/PRPSAP1/BPNT1/ABCC6/NDUFA9/TSPO/IFNG/ATP5PD/ADCY6/TREX1/PAICS/SRC/AK1/GPD1/NDUFB9/IL4/UMPS/PGM1/ATP6/PRPSAP2/SDHB/OGT/PDE5A/DHODH/ND4/PTHLH/ATP6V1B2/NDUFS1/LDHC/PNP/UCK2/UCHL1/SLC4A1/TPI1/NDUFV2/NDUFA10/SULT1E1/PFKFB2/CLPX/NUDT3/NDUFB3/AK4/RAN/NT5C2/HSPA8/MYH4/GMPS/NT5C/NDUFS8/PSEN1/DPYS",155
