"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098802","plasma membrane signaling receptor complex","156/4384","326/19960",0.478527607361963,2.17869777439434,11.3837031640708,2.21116814551052e-25,1.68712129502453e-22,1.1265319815022e-22,"ITGAD/CD8A/GRIN2D/TRDV2/TRAV29DV5/CD8B/PTPN6/FLNA/ACVR1B/DLG3/TRBV6-7/TRAV19/IL2RA/IL12RB1/DLG4/CHRNA2/HFE/TRBV13/TRBV2/CHRNB1/TLR2/HTR3A/ITGB8/GABBR1/TRBV6-5/GRIK1/TRAV36DV7/TRAV9-2/TRBV7-3/TRBV14/ITGA2B/TRAV8-4/TRAF3/TRBV10-3/CACNG4/CD3E/CD6/TRBV4-2/TRAV20/CD4/CHRND/TRGV5/TRBJ2-2/TRAV18/TRAV12-3/CD40/GP1BB/GRIN1/TRAV9-1/TRDJ1/EMILIN1/TRBJ1-5/TRDV1/GP1BA/CD79B/TRAF5/TRBV9/TRBV4-1/TRGV2/HTRA2/ACVRL1/IL18R1/TRBV5-7/TRBV7-2/ITGB2/TRBV4-3/GRIA1/ACVR2A/ITGA7/TRAV35/TRAV41/INSR/TRBV7-6/TRAV38-2DV8/CHRNE/TRGV9/BMPR1A/CHRNB2/TFR2/TRAV2/TLR1/TRGV10/TRAV8-6/TRBV5-8/TRAF1/ACVR2B/CEACAM1/GRIK4/ITGA5/ITGB5/TRBV20-1/TRGC2/TRAV8-3/CHRNA1/GRIA2/IL2RB/TRBV6-4/TSPAN32/TRBV6-1/PTK2B/ITGA3/TRBJ2-1/PLP1/CD3G/TRDD1/TRAV38-1/ITGA4/SKAP1/TRBV7-1/ITGB1/TRA/DRD1/INSRR/GP5/TRDC/TRBV18/TRBJ2-4/TRGV11/TFRC/TGFBR2/IRS1/TRAV30/TRGV4/TRAF2/TRAV1-1/TRAV34/TRAV39/TRGC1/CD79A/GRIK3/TRBV6-3/GABBR2/IL6/IL6R/TRBV17/TRBV12-5/ITGB3/TRBV10-1/IKBKB/TRBC1/TRAF6/GRIK5/TRBJ2-6/TRBV7-7/TGFBR1/BMP2/EPS8/TRAV12-2/IL18RAP/TRAV3/TLR6/SDCBP/GRID2/TRGV3/TRBV6-8/TRBJ1-6",156
"GO:0009897","external side of plasma membrane","166/4384","407/19960",0.407862407862408,1.856964794921,9.26680827961157,5.1930683856224e-18,1.98115558911494e-15,1.32286584139013e-15,"ITGAD/CD8A/NT5E/MS4A1/ASGR1/THY1/PLAU/CCRL2/CCR9/IL2RA/IL12RB1/CCR10/HFE/ACE/ADA/FCER1A/GFRA1/IL17A/CD19/CD22/PTPRC/MICB/P2RX7/ICOSLG/FCGR1BP/HLA-A/HLA-B/PECAM1/TNFRSF14/LCT/ADAM9/ITGA2B/FCN2/CXCR4/CA4/CD3E/MS4A2/CD4/TRGV5/CD40/ASTN1/IL12B/P4HB/CLPTM1/ADAM30/CD226/THBS1/CD59/IL9R/GP1BA/HLA-F/CD79B/HYAL2/MOG/TRGV2/BTN1A1/PRNP/SPN/IL27RA/ABCA1/ITGB2/CD209/SLC7A5/GRIA1/BCAM/ITGA7/MFGE8/IL2RG/CD69/INSR/CXCR2/FCGRT/MBL2/CD5/HHLA2/EPOR/TRGV9/BMPR1A/CHRNB2/TFR2/CD1B/ACKR2/CD9/CDH5/IDE/ITGA5/SERPINA5/TNF/P2RX1/PLG/TRGC2/EPHA5/BTN3A1/FGF8/GRIA2/BTNL3/ADAM29/IL2RB/SEMA7A/SLC4A3/GSR/CLEC2B/ITGA3/IL5RA/CD3G/ITGA4/CXCL9/PLAUR/CD74/ITGB1/FCGR2B/TNFRSF4/TNFRSF9/HLA-E/MFAP3/BTN3A2/TFRC/TGFBR2/ST14/FGB/TRGV4/PKHD1/IL4R/CLCN3/TRGC1/CD79A/IL12RB2/LAG3/F2/IL6R/CCR1/CD1D/FOLR1/FCN1/TLR4/FLOT1/KLRK1/MAP3K5/CD1C/AZGP1/ITGB3/GP2/CXCR3/HLA-C/SLC1A1/CAPN2/CD34/ANPEP/PDGFRA/KIT/PDCD1/CXCR1/CD28/CLEC4M/FCER1G/CX3CR1/FCGR3B/RS1/GPC4/ABCC4/TGFBR3/TRGV3/FCGR3A/CLEC2D/CTLA4/EFNA5",166
"GO:0042101","T cell receptor complex","79/4384","150/19960",0.526666666666667,2.39787104622871,9.1169000557882,1.63167490908018e-16,4.14989318542726e-14,2.77098475787652e-14,"CD8A/TRDV2/TRAV29DV5/CD8B/PTPN6/TRBV6-7/TRAV19/TRBV13/TRBV2/TRBV6-5/TRAV36DV7/TRAV9-2/TRBV7-3/TRBV14/TRAV8-4/TRBV10-3/CD3E/CD6/TRBV4-2/TRAV20/CD4/TRGV5/TRBJ2-2/TRAV18/TRAV12-3/TRAV9-1/TRDJ1/TRBJ1-5/TRDV1/TRBV9/TRBV4-1/TRGV2/TRBV5-7/TRBV7-2/TRBV4-3/TRAV35/TRAV41/TRBV7-6/TRAV38-2DV8/TRGV9/TRAV2/TRGV10/TRAV8-6/TRBV5-8/CEACAM1/TRBV20-1/TRGC2/TRAV8-3/TRBV6-4/TRBV6-1/TRBJ2-1/CD3G/TRDD1/TRAV38-1/SKAP1/TRBV7-1/TRA/TRDC/TRBV18/TRBJ2-4/TRGV11/TRAV30/TRGV4/TRAV1-1/TRAV34/TRAV39/TRGC1/TRBV6-3/TRBV17/TRBV12-5/TRBV10-1/TRBC1/TRBJ2-6/TRBV7-7/TRAV12-2/TRAV3/TRGV3/TRBV6-8/TRBJ1-6",79
"GO:0030667","secretory granule membrane","130/4384","320/19960",0.40625,1.84962363138686,8.12844597071489,3.03661136365194e-14,5.79233617616607e-12,3.86768394738826e-12,"ATP6V0A1/CYBB/PLAU/C3AR1/CD63/RND2/BST1/CD300A/BST2/SLC18A1/CLEC5A/RAB3D/PTPRC/TLR2/DNAJC13/SIGLEC9/HLA-B/PECAM1/SLC2A5/STX3/ITGA2B/ADGRE5/NCKAP1L/SCG3/MANBA/CA4/MS4A3/NRAS/VNN1/DSP/PCDH7/CD59/CAV1/SYT5/TRPM2/PKDREJ/IRAG2/SERPINB6/DIAPH1/ITGB2/MFGE8/DBH/SRI/RAB31/SCAMP1/ANXA4/NDUFC2/CXCR2/ITPR3/PRCP/SNAP25/SYT4/AP2A2/PAM/ACP3/KIF1A/CEACAM1/CD9/CD47/CD58/ADAM10/SERPINA5/LILRA3/ANXA7/DMBT1/P2RX1/FCAR/CEACAM3/RAB18/DGAT1/MGST1/TMED10/LGALS3/PKP1/VAMP8/SLC30A2/CLCA1/IGF2R/CPNE1/GAA/RAB5C/TMEM63A/AZU1/TOM1/AGPAT2/PLAUR/CAV2/PIGR/CD93/ABCA3/SLC11A1/LAIR1/ENPP4/ZPBP/PTAFR/CD46/LAMP2/SNAP29/ALDH3B1/ITGB3/TNFRSF1B/MGAM/GP2/SNCA/LAMTOR2/SYNGR1/CKAP4/ITPR2/HLA-C/LILRB3/FPR1/ANPEP/ADAM8/SURF4/CXCR1/DSC1/FCER1G/CEACAM6/COPB1/TMC6/FCGR3B/ATP8A1/SPARC/ABCC4/PSEN1/TMED2/NCSTN/BSG/CPE/C5AR1",130
"GO:0060205","cytoplasmic vesicle lumen","132/4384","329/19960",0.401215805471125,1.82670334790229,8.02145453706942,5.92003274010757e-14,9.03396996140415e-12,6.03220178149908e-12,"F8/TGFB3/HUWE1/PTPN6/TTR/PSMD2/PRKCD/ATG7/SERPINA3/GLB1/ARG1/GRP/DEFA3/ADA/CTSC/TIMP3/CTSD/A2M/DYNLT1/TUBB4B/PSMD14/HRG/ACLY/AHSG/PSMD11/ACTN2/CSTB/ARSB/DNASE1L1/HPSE/SCG3/DEFA4/PRSS2/PPBP/PA2G4/HSP90AA1/NFKB1/CFD/GGH/ARSA/NPC2/THBS1/ANXA2/PRG3/ISLR/FUCA1/ERP44/DDX3X/BPI/C3/SRP14/TIMP1/HSPA6/XRCC6/ROCK1/PRTN3/ARHGAP45/CDA/DBH/CAMP/FAF2/DNAJC3/TGFB2/CRISP3/PRDX6/TGFB1/LGALS3BP/PSMD13/SPP2/DBNL/AMPD3/GZMB/ALDOA/HMGB1/PLG/RAB27A/CREG1/PAFAH1B2/A1BG/CCT8/GPI/PRF1/PYGL/ALOX5/PSMA2/AZU1/ECM1/MVP/VEGFB/COTL1/GM2A/AOC1/EEF2/CCT2/PSMB1/JUP/ACTR1B/SERPINA4/CHIT1/FGB/IDH1/PSMD1/PYCARD/CTSG/FCN1/PDGFB/COMMD9/SERPINA1/EEF1A1/PPIA/GLA/GMFG/GALNS/SERPINE1/PNP/PENK/RNASE3/MNDA/HCRT/CAP1/PGLYRP1/RNASE2/SERPINF2/ALAD/HSPA8/CTSZ/HEXB/SDCBP/SPARC/DEFA5/CHI3L1/GSTP1",132
"GO:0031983","vesicle lumen","132/4384","330/19960",0.4,1.82116788321168,7.98004734502199,7.75659268026967e-14,9.8638003584096e-12,6.58629974956232e-12,"F8/TGFB3/HUWE1/PTPN6/TTR/PSMD2/PRKCD/ATG7/SERPINA3/GLB1/ARG1/GRP/DEFA3/ADA/CTSC/TIMP3/CTSD/A2M/DYNLT1/TUBB4B/PSMD14/HRG/ACLY/AHSG/PSMD11/ACTN2/CSTB/ARSB/DNASE1L1/HPSE/SCG3/DEFA4/PRSS2/PPBP/PA2G4/HSP90AA1/NFKB1/CFD/GGH/ARSA/NPC2/THBS1/ANXA2/PRG3/ISLR/FUCA1/ERP44/DDX3X/BPI/C3/SRP14/TIMP1/HSPA6/XRCC6/ROCK1/PRTN3/ARHGAP45/CDA/DBH/CAMP/FAF2/DNAJC3/TGFB2/CRISP3/PRDX6/TGFB1/LGALS3BP/PSMD13/SPP2/DBNL/AMPD3/GZMB/ALDOA/HMGB1/PLG/RAB27A/CREG1/PAFAH1B2/A1BG/CCT8/GPI/PRF1/PYGL/ALOX5/PSMA2/AZU1/ECM1/MVP/VEGFB/COTL1/GM2A/AOC1/EEF2/CCT2/PSMB1/JUP/ACTR1B/SERPINA4/CHIT1/FGB/IDH1/PSMD1/PYCARD/CTSG/FCN1/PDGFB/COMMD9/SERPINA1/EEF1A1/PPIA/GLA/GMFG/GALNS/SERPINE1/PNP/PENK/RNASE3/MNDA/HCRT/CAP1/PGLYRP1/RNASE2/SERPINF2/ALAD/HSPA8/CTSZ/HEXB/SDCBP/SPARC/DEFA5/CHI3L1/GSTP1",132
"GO:0034774","secretory granule lumen","129/4384","324/19960",0.398148148148148,1.81273655041903,7.8247861511511,2.22169421217245e-13,2.42164669126797e-11,1.61699247923529e-11,"F8/TGFB3/HUWE1/PTPN6/TTR/PSMD2/PRKCD/ATG7/SERPINA3/GLB1/ARG1/GRP/DEFA3/CTSC/TIMP3/CTSD/A2M/DYNLT1/TUBB4B/PSMD14/HRG/ACLY/AHSG/PSMD11/ACTN2/CSTB/ARSB/DNASE1L1/HPSE/SCG3/DEFA4/PRSS2/PPBP/PA2G4/HSP90AA1/NFKB1/CFD/GGH/ARSA/NPC2/THBS1/ANXA2/PRG3/ISLR/FUCA1/ERP44/DDX3X/BPI/C3/SRP14/TIMP1/HSPA6/XRCC6/ROCK1/PRTN3/ARHGAP45/CDA/DBH/CAMP/FAF2/DNAJC3/TGFB2/CRISP3/PRDX6/TGFB1/LGALS3BP/PSMD13/SPP2/DBNL/AMPD3/ALDOA/HMGB1/PLG/RAB27A/CREG1/PAFAH1B2/A1BG/CCT8/GPI/PYGL/ALOX5/PSMA2/AZU1/ECM1/MVP/VEGFB/COTL1/GM2A/AOC1/EEF2/CCT2/PSMB1/JUP/ACTR1B/SERPINA4/CHIT1/FGB/IDH1/PSMD1/PYCARD/CTSG/FCN1/PDGFB/COMMD9/SERPINA1/EEF1A1/PPIA/GLA/GMFG/GALNS/SERPINE1/PNP/PENK/RNASE3/MNDA/HCRT/CAP1/PGLYRP1/RNASE2/SERPINF2/ALAD/HSPA8/CTSZ/HEXB/SDCBP/SPARC/DEFA5/CHI3L1/GSTP1",129
"GO:0101002","ficolin-1-rich granule","83/4384","185/19960",0.448648648648649,2.0426612744131,7.55870775435311,2.99880091389823e-12,2.86010637163044e-10,1.90976268727203e-10,"ATP6V0A1/HUWE1/ASAH1/PSMD2/CD300A/ATG7/GLB1/CTSD/DYNLT1/PSMD14/CTSS/ACLY/PSMD11/PDAP1/CSTB/CAPN1/ARSB/NCKAP1L/HSP90AA1/CFD/DSP/TRPM2/DDX3X/SERPINB6/DIAPH1/HSPA1A/ITGB2/SRP14/HSPA6/XRCC6/TNFAIP6/CDA/PRCP/PSMD13/AP2A2/DBNL/AMPD3/ALDOA/CD58/HMGB1/LILRA3/FCAR/PAFAH1B2/A1BG/LGALS3/PKP1/CCT8/GPI/PYGL/GAA/ALOX5/PSMA2/MVP/COTL1/EEF2/PSMB1/CD93/COMMD3/JUP/ACTR1B/SLC11A1/ENPP4/IDH1/PGM1/FCN1/LAMP2/COMMD9/SERPINA1/EEF1A1/PPIA/GMFG/MGAM/PNP/MNDA/FPR1/ADAM8/ALAD/DSC1/FCER1G/HSPA8/CTSZ/COPB1/GSTP1",83
"GO:0005925","focal adhesion","153/4384","424/19960",0.360849056603774,1.64291678143506,7.09898991882794,1.47563817821578e-11,1.25101325553182e-09,8.35332021352556e-10,"PTPN12/PPP1R12A/KIF23/NHS/FLNB/TSPAN9/EFNB2/THY1/PLAU/FLNA/RPS18/RSU1/RPS7/DDR2/STARD8/RPL37A/LASP1/CSRP2/SORBS2/TNS1/YWHAZ/PTPRA/FAP/BCAR3/CLTC/ACTC1/PGM5/PTPRC/GIT2/RPS17/CD99/MYH9/TPM4/RPS19/GAK/ITGB8/CAPN5/LCP1/ACTB/EFS/ACTN2/TGM2/ARL2/CAPN1/ADAM9/ITGA2B/ADGRE5/FAT1/BCAR1/PRKAR2A/MPRIP/SDC4/P4HB/ZNF185/HSPA9/PAK1/RPL13A/CD59/CAV1/ACTR3/NUMB/FLRT1/HSPA1A/ITGB2/ANXA1/LIMD1/GRB7/HMGA1/ANXA6/NPM1/RPL4/SLC6A4/RPL10A/FERMT2/PIP5K1C/CDH2/RPL3/RALA/PPFIA1/RPS9/CD9/RPS13/ADAM10/ITGA5/JAK1/HNRNPK/ITGB5/CTNNA1/RPS10/HYOU1/CORO1C/RPS11/ABCB4/TGFB1I1/PTK2B/IGF2R/ITGA3/FAM107A/ITGA4/RAB21/PLAUR/ATP6V0A2/ITGB1/CD81/GJA1/GNA12/NRP1/CAV2/ARF1/TNFSF13B/DST/JUP/ARHGEF7/PABPC1/EZR/SRC/CLASP2/PARVB/FES/MARCKS/CD46/RPLP1/FLOT1/YWHAQ/PPIA/RPL30/RPL7/ITGB3/RPL7A/RPL18/CAP1/CAPN2/ALOX15B/HSP90B1/WASF1/HSPA8/RPLP0/TNS2/RPS4X/RPS16/SDCBP/CSRP1/SRP68/RPL38/ADD1/PDIA3/TLN1/FLT1/NCSTN/BSG/G3BP1/SCARB2/MMP14",153
"GO:0030964","NADH dehydrogenase complex","31/4384","45/19960",0.688888888888889,3.13645579886456,7.61178838897287,2.16896048032185e-11,1.50446986044143e-09,1.00457116983328e-09,"NDUFA5/NDUFB6/NDUFB4/NDUFV1/NDUFS2/NDUFS4/NDUFA6/ND1/NDUFV3/ND2/ND3/NDUFA1/NDUFA3/NDUFA7/NDUFC2/NDUFB8/NDUFB5/NDUFB2/NDUFB1/NDUFAB1/NDUFS3/NDUFA2/NDUFS5/NDUFA9/NDUFB9/ND4/NDUFS1/NDUFV2/NDUFA10/NDUFB3/NDUFS8",31
