"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","42/4232","58/18737",0.724137931034483,3.20608988983769,9.08893069531823,9.56104946941375e-16,1.21138496777472e-12,8.9471294508514e-13,"NDUFA5/NDUFB6/NDUFB4/CRYZ/NDUFV1/DHRS4/NDUFS2/NDUFS4/NDUFA6/ND1/NDUFV3/ND2/ND3/ADH4/NDUFA1/NDUFA3/NDUFA7/NDUFC2/NDUFB8/NDUFB5/NDUFA4/TP53I3/NDUFB2/NDUFB1/CBR3/NDUFS3/NDUFA2/NDUFS5/NQO1/CBR1/NDUFA9/NQO2/NDUFB9/ND4/NDUFS1/AKR1C3/NDUFV2/NDUFA10/NDUFB3/NDUFS8/CRYZL1/AKR1C4",42
"GO:0008137","NADH dehydrogenase (ubiquinone) activity","31/4232","41/18737",0.75609756097561,3.34758979206049,8.1281590442821,8.27120648353842e-13,5.23980930732159e-10,3.87005398098192e-10,"NDUFA5/NDUFB6/NDUFB4/NDUFV1/NDUFS2/NDUFS4/NDUFA6/ND1/NDUFV3/ND2/ND3/NDUFA1/NDUFA3/NDUFA7/NDUFC2/NDUFB8/NDUFB5/NDUFA4/NDUFB2/NDUFB1/NDUFS3/NDUFA2/NDUFS5/NDUFA9/NDUFB9/ND4/NDUFS1/NDUFV2/NDUFA10/NDUFB3/NDUFS8",31
"GO:0042277","peptide binding","106/4232","249/18737",0.42570281124498,1.88478109033487,7.59176823672472,1.32014387924537e-12,5.57540765001294e-10,4.11792248648818e-10,"RPS6KB2/TRAV29DV5/NPY6R/RPS6KB1/KCNIP2/TRAV19/NPY1R/GALR1/MAPK8IP2/TLR2/NPR3/MICB/TAP1/HLA-A/RANBP6/HLA-B/NMUR1/NUP214/PEX5/ITM2A/TRAV8-4/TAP2/SSTR3/NUP58/LRPAP1/ADNP/TRAV12-3/SLC7A8/GRIN1/NPBWR2/RELA/SSTR2/PEX19/PPARG/HLA-F/TPP1/PRNP/ITGB2/BRAP/SRP14/CD209/SLC7A5/GRIA1/DHCR24/HLA-DQA2/CLTA/TIMM22/HLA-DQB1/MC4R/GPR37L1/INSR/TGFB2/HLA-DMB/MARCO/TRGV9/TNPO2/PEX7/ADRB2/ADCYAP1R1/CLTB/KDELR2/IDE/ITM2B/NPAP1/GRIA2/PTGDR2/MC3R/HLA-DQB2/SSTR5/HLA-DRB5/CD74/ACHE/FCGR2B/KDELR3/CLSTN1/BDKRB1/HLA-E/FBXO2/TNPO1/HLA-DOA/OPRM1/LRP8/NPBWR1/TLR4/NUP153/EPHB2/CRIP1/NFKBIA/HLA-C/NPEPPS/EPHA4/ANPEP/OPRL1/TRAV12-2/CLEC4M/HSPA8/TLR6/NLGN1/SRP68/PRLHR/CACNA1B/TRGV3/CABP1/OPRK1/SCARB1/CRYAB",106
"GO:0003823","antigen binding","82/4232","177/18737",0.463276836158192,2.05113848749907,7.58944446039317,2.30618326470282e-12,7.30483549094617e-10,5.39525505873896e-10,"IGHV6-1/TRAV29DV5/IGHV4-4/TRAV19/IGLV2-11/IGLV2-14/MICB/TAP1/HLA-A/LILRA1/HLA-B/IGLV2-23/FCN2/TRAV8-4/IGHV2-70/TAP2/IGHA2/PPP2R1A/TRAV12-3/CD40/SLC7A8/IGHV5-10-1/IGHA1/IGHV3-7/ABO/IGHV1-69/IGHG4/HLA-F/LILRA2/IGLV6-57/IGHD/CD209/SLC7A5/DHCR24/HLA-DQA2/HLA-DQB1/IGHV3-35/HLA-DMB/IGHV7-81/TRGV9/IGHV4-34/CD1B/IGHV4-28/IGHV1-58/IGHV3-74/IGHV4-39/IGHV4-30-4/PLG/IGHV4-59/IGLV2-8/HLA-DQB2/IGHV1-69-2/ITGA4/IGHV3-9/HLA-DRB5/IGHV3-49/HLA-E/IGHG1/IGLV3-1/HLA-DOA/LAG3/CD1D/IGHV1-45/FCN1/IGHV5-51/CD1C/GP2/TOPORS/IGHV3-53/HLA-C/IGHV2-5/IGHV1-8/IGHV3-72/IGHV2-26/IGLV1-47/IGHV3-73/TRAV12-2/CLEC4M/IGLC1/TRGV3/IGHV3-21/IGHV3-30",82
"GO:0008083","growth factor activity","76/4232","162/18737",0.469135802469136,2.07707881164088,7.43691778456884,6.70390931375558e-12,1.55600206778919e-09,1.14924258568902e-09,"TGFB3/FGF13/FGF14/NRTN/NRG2/MSTN/NGF/GDF9/NRG1/IL5/INHBA/FGF9/INHBB/PGF/FGF5/VGF/IL7/PPBP/FGF1/MDK/IL12B/FGF22/GDF5/PSPN/FGF7/HBEGF/AMBN/TIMP1/THBS4/BMP1/FGF10/CCN3/FGF6/TGFB2/MANF/CSF1/FGF2/TGFB1/FGF21/THPO/IL2/BDNF/CLCF1/TFF1/CSPG5/IL9/FGF8/GDF2/GPI/TGFA/BTC/BMP3/AMELX/CRIPTO/BMP5/GDNF/FGF19/INHBC/VEGFB/NODAL/JAG1/AGT/IL6/F2/OSGIN2/IL4/PDGFB/LIF/GMFG/PTN/JAG2/BMP2/NENF/IL11/FGF4/OSM",76
"GO:0002020","protease binding","67/4232","136/18737",0.492647058823529,2.18117389914378,7.46736794639585,7.36859700610507e-12,1.55600206778919e-09,1.14924258568902e-09,"BIN1/PANX1/FAP/CLTC/ATP9A/NTRK2/MARCHF6/A2M/CHL1/SPATA2/CNTNAP2/CSTB/TP53/RAD23A/XBP1/COL1A2/BRCA2/RIOK3/THBS1/ANXA2/TTN/PRNP/CSTA/SERPINB6/MBP/ALPI/SRI/ADRM1/ATP5F1A/CFLAR/SUMO1/SERPINA5/TNF/PLG/CRADD/PRKN/F2RL1/INSL3/ITGA3/ECM1/ITGB1/OS9/SERPINC1/TNFRSF8/RNF139/F2RL3/PYCARD/CTSG/FLOT1/SERPINA1/SART3/ITGB3/SERPINE1/BCL2/FADD/KIT/SERPINF2/COMP/AMFR/SERPINB4/CASP3/TNFAIP3/NOL3/GSK3B/COL3A1/TNFRSF10A/PTEN",67
"GO:0016651","oxidoreductase activity, acting on NAD(P)H","49/4232","88/18737",0.556818181818182,2.46528881680701,7.44199199372039,1.70552514347123e-11,3.08700050968293e-09,2.28001782337733e-09,"CYBB/NDUFA5/NDUFB6/NDUFB4/CRYZ/NDUFV1/MTRR/DHRS4/AMBP/NDUFS2/NDUFS4/NNT/NDUFA6/FMO5/ND1/NDUFV3/ND2/ND3/ADH4/NDUFA1/NDUFA3/NDUFA7/NDUFC2/NDUFB8/NDUFB5/NDUFA4/KMO/TP53I3/NDUFB2/NDUFB1/CBR3/NDUFS3/NDUFA2/NDUFS5/NQO1/CBR1/NDUFA9/NQO2/NCF2/NDUFB9/ND4/NDUFS1/AKR1C3/NDUFV2/NDUFA10/NDUFB3/NDUFS8/CRYZL1/AKR1C4",49
"GO:0140297","DNA-binding transcription factor binding","174/4232","488/18737",0.35655737704918,1.57864262140134,6.99605470553886,2.13811900416321e-11,3.38624597284348e-09,2.50103657197512e-09,"ZMYND8/KAT6A/PSMD9/HDAC4/ASAH1/FLNA/BCL6/MAGEA2/MED4/CTDP1/NOTCH2/SMAD2/YWHAZ/NHLH2/WWP2/TCF12/STAT5B/PSIP1/DDX5/SPEN/TCF3/TMF1/NKX2-5/ACTB/TDG/AR/NFYB/TCF21/FLT3/HHEX/BRD8/CEBPG/RFC1/MED16/TP53/NCOR1/ZFPM2/HAND1/XBP1/TP53BP1/MYOD1/STAT3/MED12/THRAP3/PBX2/RELA/FOXP1/PDCD11/C1D/EOMES/PPARG/EP300/RUNX1T1/EEF1D/HEY1/CIITA/HOXC13/LHX3/KDM5D/HMGA1/GTF2I/NPM1/GABARAPL1/TCF7L2/TAF4B/TOB2/CCNT1/HIF1A/BAZ2A/NCOA1/SRI/ANXA4/MEF2C/RBX1/SP100/MAP3K7/ANKRD2/RUNX1/TACC1/TAF9/SKI/MTA1/SIRT1/MED24/MED13/IFI27/TAF10/SRF/KEAP1/MEF2A/DDX20/SOX8/CRY2/TRIM24/CBX5/HMGB1/DHX9/TCERG1/LATS1/TP73/PER1/ARID5A/ANKRD1/STK4/TBXT/CRY1/TGFB1I1/KAT2B/NRIP1/PPID/CPNE1/TRIM32/HEY2/NR4A2/TAF11/PBX1/FBP1/RB1/CENPF/LDB1/SP3/ESRRB/TBX3/JUP/EGR2/ZBTB17/DLL1/RAD23B/RUNX2/CRKL/HOXA7/EPAS1/DNMT3A/SRC/CRX/TAL1/KLF5/CTBP1/FOXL2/RBFOX2/HMGA2/DAZAP2/BUD31/TAF4/HSF1/PRMT2/MAP3K10/ASCL2/AIP/HIPK2/NCOR2/NFKBIA/BCL2/WBP2/SMAD3/ID4/CD34/PRAME/SMAD4/FOXO4/NCOA6/RNF14/TWIST1/CDKN2A/RNF6/ADD1/LMO2/PRKCB/BBS4/GSK3B/DCAF1/SP1/JUN/SPI1",174
"GO:0015399","primary active transmembrane transporter activity","75/4232","166/18737",0.451807228915663,2.0003572892705,6.99268462790228,8.70744431539771e-11,1.10493764757367e-08,8.16092359650223e-09,"ATP6V1B1/ATP6V0A1/CYB5A/NDUFA5/NDUFB6/NDUFB4/TMEM94/ABCA5/ABCC3/COX7A1/NDUFV1/ABCA6/TAP1/ATP12A/ABCD4/ABCA2/TAP2/ABCC9/NDUFS2/NDUFS4/NNT/NDUFA6/ABCC2/ND1/ABCD1/CFTR/NDUFV3/ND2/ABCA1/ND3/ABCB7/NDUFA1/NDUFA3/NDUFA7/NDUFC2/NDUFB8/ATP4A/ATP6V1G1/NDUFB5/NDUFA4/ATP6V1A/ABCA4/ATP5F1B/NDUFB2/ABCB4/NDUFB1/ABCB9/NDUFS3/ATP7A/CYTB/ABCC5/ATP6V0A2/NDUFA2/NDUFS5/ABCA3/COX3/ATP6V0E1/ATP1A1/ABCC6/CYB561D2/NDUFA9/ABCD3/ABCB10/NDUFB9/ND4/ATP6V1B2/NDUFS1/NDUFV2/NDUFA10/NDUFB3/ATP13A2/ATP8A1/ABCC4/NDUFS8/ATP6V0D1",75
"GO:0009055","electron transfer activity","58/4232","116/18737",0.5,2.21372873345936,7.08274375422556,8.72089698163905e-11,1.10493764757367e-08,8.16092359650223e-09,"CYBB/CYB5A/NDUFA5/NDUFB6/NDUFB4/HSD17B6/COX7A1/NDUFV1/ETFB/NDUFS2/NDUFS4/FDX1/ALDH2/NDUFA6/ND1/ME2/NDUFV3/ND2/IDH3B/ND3/IDO1/NDUFA1/NDUFA3/NDUFA7/NDUFC2/NDUFB8/UQCR11/GLDC/NDUFB5/NDUFA4/PHGDH/AKR7A3/SDHA/NDUFB2/NDUFB1/SRD5A1/GSR/NDUFS3/CYTB/NDUFA2/NDUFS5/COX3/NDUFA9/NQO2/NCF2/NDUFB9/SDHB/ND4/GFUS/MAOB/NDUFS1/NDUFV2/NDUFA10/NDUFB3/DHRS3/CYP1A2/NDUFS8/AKR1C4",58
