"","logFC","logCPM","F","PValue","FDR"
"37104",4.47755775188381,2.72255644803167,57.1287855351662,6.85121581074888e-11,4.68252841290643e-07
"37084",4.57646419025176,3.20952978657065,57.343570078703,6.94503820864791e-11,4.68252841290643e-07
"35456",0.456328411929467,5.67396643819201,56.8569264764643,7.60562276054103e-11,4.68252841290643e-07
"3954",2.28884360428573,3.79386005860854,55.7251702521725,1.15975563243916e-10,5.3551716327878e-07
"27529",3.75553334272726,3.56420451331395,53.91801060212,1.89713865857828e-10,7.00803020478818e-07
"12885",0.706469972078301,6.63433594450328,52.5129772075725,2.77332186275713e-10,8.53720913418736e-07
"525",0.41507986447335,7.98467056107258,51.9680776506882,3.27192269943064e-10,8.63320175121198e-07
"25608",2.21795351258834,0.408145321666565,49.9661645124147,4.92771622065613e-10,9.84101246999449e-07
"31500",1.9616461229219,4.20015331238734,50.583009032583,5.51101921133444e-10,9.84101246999449e-07
"21056",2.13360026066605,6.54942949444854,50.5277311999314,5.73171233481837e-10,9.84101246999449e-07
"3290",2.06229459027113,1.34234382678474,49.8406276266042,6.09550149551525e-10,9.84101246999449e-07
"37027",3.2665055624892,2.55477324380229,49.8951973011641,6.39372764699155e-10,9.84101246999449e-07
"27605",3.15775779771275,3.34510993630192,49.5686132329387,7.07466932482451e-10,1.00514724945776e-06
"11940",2.04505341728337,1.52468574219957,48.5149898784592,9.27561184627959e-10,1.17993595587361e-06
"22241",2.02371626457188,1.05683455859795,48.3475545001259,9.5825876221463e-10,1.17993595587361e-06
"31495",2.0868141521911,1.80465241918275,48.1029179052787,1.05757531436926e-09,1.22083850352501e-06
"16746",2.2003813722003,0.819138474888295,46.7579672086154,1.54129600741931e-09,1.58934025557368e-06
"35637",1.94496306479726,2.51223425815874,46.9593008085253,1.54889683813352e-09,1.58934025557368e-06
"830",1.83348271069915,3.24640085711155,46.5243581466382,1.8665536049092e-09,1.77494794517424e-06
"14056",1.0005641858493,5.77043287217764,46.315400218058,1.98253053899505e-09,1.77494794517424e-06
"28385",0.618470725786551,6.71808787740736,46.1347429166809,2.01807833506546e-09,1.77494794517424e-06
"37124",2.27934366936551,5.64997276185183,46.2585277251913,2.16007171887203e-09,1.79079565259063e-06
"20520",3.56708017702098,3.2791635842199,45.9318351437464,2.23001082888925e-09,1.79079565259063e-06
"7113",2.17155235407183,0.183353071267383,44.935309152132,2.33498959728727e-09,1.79696907757899e-06
"36939",1.96239982769936,1.18413412114339,45.0989669682423,2.72890604743583e-09,2.01611578784559e-06
"9293",0.298404569169688,7.04839539787568,44.970223440842,2.93300691936706e-09,2.08356299233498e-06
"537",2.88074731152417,0.606137382567136,44.0728090915682,3.05503177319692e-09,2.08986803151656e-06
"33645",1.60217807170599,0.354750309395962,44.3382021500772,3.26026606401118e-09,2.10270377953313e-06
"27556",2.30173017038477,4.15022055928348,44.8746318601789,3.30148400684682e-09,2.10270377953313e-06
"6441",2.06014102127089,1.79552129891526,44.0041955830611,3.94287575608445e-09,2.42749717382932e-06
"29849",1.52136845762373,2.49452693434581,43.753517054879,4.30716007905729e-09,2.46450095124123e-06
"14850",1.76669477957,1.89088815275754,43.6624673241597,4.35732934509278e-09,2.46450095124123e-06
"26690",2.29368836957603,1.64729338414458,43.6904541018155,4.42648174307256e-09,2.46450095124123e-06
"6748",0.421394127944252,5.27406073708168,43.6292571715598,4.53670992648629e-09,2.46450095124123e-06
"12352",1.87897577932716,5.76497569140028,43.815180013707,4.70582191098161e-09,2.46614322145263e-06
"27643",2.68755474548362,2.11309991248021,43.4898437445438,4.81650431332961e-09,2.46614322145263e-06
"27469",3.15993260546641,3.76631026287591,43.5284859727375,4.95581123043229e-09,2.46614322145263e-06
"27486",2.41689640745339,3.37265771922723,43.4317421809634,5.10104135216942e-09,2.46614322145263e-06
"12351",1.8091459850179,5.77204360238352,43.4615795999838,5.27439558540434e-09,2.46614322145263e-06
"27639",3.46506271019383,2.12826042176018,43.1714813028076,5.3408624178725e-09,2.46614322145263e-06
"37054",2.46805856021949,2.77403781336784,42.8960437321389,5.85725073493457e-09,2.63862002620101e-06
"27533",2.81017960146368,4.19966823048218,42.9713497388684,6.10226486896885e-09,2.6835436221394e-06
"26385",0.488422058802677,6.56859762656389,42.5321147272052,6.49721511014675e-09,2.79078053684675e-06
"32359",2.2491619188851,1.21921186747683,42.3548105173519,6.77660182547995e-09,2.84463262992306e-06
"4911",3.34462344085896,2.28782274688862,42.3329276109207,7.13802821865466e-09,2.92976402663448e-06
"27485",2.38634944106089,1.91825245101411,42.0434173399245,7.64782323594818e-09,3.07076728626006e-06
"31455",-0.501669639977055,2.99249763523069,41.7467352284312,8.41428587607774e-09,3.21009304169374e-06
"38360",2.20299620698713,0.9880841717466,41.5846238490119,8.63090186744628e-09,3.21009304169374e-06
